role,grid_n,index,window,target,predicted,residual,percent_error
P,320,85,train,209.5765,148.6211286522254,-60.955371347774616,29.085022103038565
P,320,86,train,211.3289,149.05654479311738,-62.27235520688262,29.467032292735457
P,320,87,train,213.3479,149.70283081275213,-63.645069187247884,29.831589243319424
P,320,88,train,214.547,150.59399685091438,-63.95300314908562,29.808388441267237
P,320,89,train,216.1695,150.9146357083403,-65.25486429165969,30.186896991323792
P,320,90,train,219.0675,151.30312134765092,-67.76437865234908,30.933104478002935
P,320,91,train,220.7149,152.01054613369746,-68.70435386630254,31.128099582901985
P,320,92,train,221.3952,152.3370158820822,-69.05818411791779,31.192267997643036
P,320,93,train,224.007,152.73282874818995,-71.27417125181006,31.817832144446403
P,320,94,train,224.9833,153.16813394141926,-71.81516605858076,31.92022077131092
P,320,95,train,227.4214,154.07157131933582,-73.34982868066419,32.25282611076362
P,320,96,train,229.3374,154.6434498506754,-74.69395014932459,32.56945886249892
P,320,97,train,231.2882,154.89710140748608,-76.39109859251391,33.02853262402229
P,320,98,train,231.9872,155.69327972719185,-76.29392027280815,32.88712492448211
P,320,99,train,233.6934,156.29963026869655,-77.39376973130345,33.11765318631311
P,320,100,train,236.5242,156.7492763344105,-79.77492366558951,33.728017541371884
P,320,101,development,237.7698204809252,157.43411946020234,-80.33570102072287,33.78717318212708
P,320,102,development,239.55547757332764,157.58315892961772,-81.97231864370991,34.21851150058478
P,320,103,development,241.04915779621658,158.3179999971523,-82.73115779906428,34.32128058667824
P,320,104,development,242.8232719342226,159.16483468573333,-83.65843724848926,34.45239683252071
P,320,105,development,244.07089849707816,159.6316477513025,-84.43925074577567,34.59619777111055
P,320,106,development,247.1369900748975,160.35595345166283,-86.78103662323468,35.114547845279965
P,320,107,development,248.10199006014847,160.53609632179916,-87.5658937383493,35.294313325386995
P,320,108,development,249.5736896447072,161.22288754434098,-88.35080210036622,35.40068755890988
P,320,109,development,251.014947795016,161.66619311749793,-89.34875467751809,35.594993629814475
P,320,110,development,253.06998674799948,161.93689595434194,-91.13309079365754,36.01102286554648
P,320,111,development,255.30625645491403,162.16472223944066,-93.14153421547337,36.48227642706506
P,320,112,development,256.38071369443446,162.934396419283,-93.44631727515147,36.44826318196649
P,320,113,development,258.6104394915314,164.24088846785955,-94.36955102367185,36.491006012447585
P,320,114,development,259.874406989678,164.3958294402473,-95.4785775494307,36.74027721907338
P,320,115,development,260.8050845045969,164.79317499527048,-96.01190950932641,36.81366476873043
P,320,116,development,263.57389390487015,164.9152280383516,-98.65866586651856,37.43112202991042
P,320,117,development,265.55785183887633,165.77840569258518,-99.77944614629115,37.5735251115192
P,320,118,development,266.6149737815011,166.2374707911936,-100.37750299030748,37.648861789949514
P,320,119,development,267.92191508282406,166.74592634615684,-101.17598873666722,37.76323736167315
P,320,120,development,269.9704490239976,167.1334945455715,-102.83695447842612,38.09193000574851
