orbit_id,code,sr_block_length,inverse_class_code,self_reverse,matrix_a,matrix_b,matrix_c,matrix_d,trace,discriminant,adjoint_trace_q,geodesic_length,norm,stable_multiplier,unstable_multiplier,trace_multiplicity_within_block_cutoff
MOD-000947,1111221212212,13,1121211222212,False,-219,-127,-50,-29,248,61500,61502,11.026824973326663,61501.99998374037,1.6259633837344733e-05,61501.99998374037,14
MOD-000948,1111221212222,13,1111212112222,False,-162,-35,-37,-8,170,28896,28898,10.271527666356087,28897.99996539553,3.460447093907777e-05,28897.99996539553,26
MOD-000949,1111221221112,13,1121122221222,False,-153,-118,-35,-27,180,32396,32398,10.385851970527368,32397.999969133896,3.086610287526132e-05,32397.999969133896,12
MOD-000950,1111221221122,13,1121122221122,False,-201,-83,-46,-19,220,48396,48398,10.787213769109965,48397.99997933799,2.066201083571467e-05,48397.99997933799,16
MOD-000951,1111221221212,13,1121122221212,False,-214,-131,-49,-30,244,59532,59534,10.99430285661987,59533.99998320288,1.6797124337053506e-05,59533.99998320288,22
MOD-000952,1111221221222,13,1112112112222,False,-179,-48,-41,-11,190,36096,36098,10.493992740356772,36097.999972297635,2.7702365803297165e-05,36097.999972297635,30
MOD-000953,1111221222112,13,1112112222122,False,-157,-109,-36,-25,182,33120,33122,10.407952992237915,33121.99996980859,3.0191413589503092e-05,33121.99996980859,22
MOD-000954,1111221222122,13,1112112222112,False,-170,-61,-39,-14,184,33852,33854,10.429812438876514,33853.99997046139,2.9538606985069104e-05,33853.99997046139,16
MOD-000955,1111221222212,13,1111211222212,False,-135,-74,-31,-17,152,23100,23102,10.047674470974922,23101.999956713706,4.328629563993175e-05,23101.999956713706,20
MOD-000956,1111221222222,13,1111112112222,False,-87,-13,-20,-3,90,8096,8098,8.999372381342997,8097.9998765127175,0.00012348728269314757,8097.9998765127175,18
MOD-000957,1111222111212,13,1112222121222,False,-155,-99,-36,-23,178,31680,31682,10.36350397425253,31681.999968436336,3.1563663941552455e-05,31681.999968436336,36
